show_id,title,type,platform,primary_genre,imdb_rating,rotten_tomatoes_score,duration_minutes,release_year,hours_watched_million,engagement,score,release_period,total_titles,avg_imdb,avg_rt,total_hours_watched_million,avg_budget,total_awards
s2517,Peaky Blinders,TV Show,Hulu,Thriller,3.2,35,,2015,185,185,3.32,Mid,1155,6.79,67.52,83691,20.39,367
s2518,The Last Witness,Movie,Amazon Prime Video,Sci-Fi,6.7,63,157.0,2016,59,59,6.54,Recent,873,6.85,68.19,83711,48.59,303
s2519,Beyond Redemption,Movie,Disney+,Documentary,6.7,72,58.0,2026,31,31,6.9,Recent,1065,6.91,68.65,61809,3.64,360
s2520,Squid Game,TV Show,Amazon Prime Video,Drama,8.2,77,,2023,2,2,8.0,Recent,2832,6.82,67.28,188250,20.92,853
s2521,Kingdom: Origins,TV Show,Disney+,Drama,6.4,65,,2023,191,191,6.44,Recent,2832,6.82,67.28,188250,20.92,853
s2522,In the Depths of Night,Movie,Netflix,Animation,5.5,62,112.0,2005,295,295,5.78,Older,876,6.8,67.75,72738,52.61,267
s2523,Beyond Reality,Movie,Hulu,Action,6.6,53,81.0,2012,9,9,6.08,Mid,1078,6.78,67.18,72029,49.17,321
s2524,The Last Witness,Movie,Netflix,Action,8.4,89,77.0,2025,6,6,8.6,Recent,1078,6.78,67.18,72029,49.17,321
s2525,When Love Breaks,Movie,Netflix,Action,6.8,72,132.0,2026,291,291,6.96,Recent,1078,6.78,67.18,72029,49.17,321
s2526,Dark,TV Show,Amazon Prime Video,Crime,7.1,71,,2024,0,0,7.1,Recent,1002,6.83,68.01,65679,20.92,261
s2527,Emily in Paris,TV Show,Hulu,Comedy,4.4,59,,2015,0,0,5.0,Mid,2180,6.86,68.5,152111,20.3,694
s2528,Beyond the Silence,Movie,Amazon Prime Video,Horror,8.2,84,113.0,2018,12,12,8.28,Recent,519,6.55,64.52,39706,21.33,128
s2529,The Last Kingdom,Movie,Hulu,Romance,9.5,93,113.0,2012,70,70,9.42,Mid,590,6.8,67.26,45855,19.1,187
s2530,The Night Agent: Return,TV Show,Netflix,Comedy,8.3,85,,2014,26,26,8.38,Mid,2180,6.86,68.5,152111,20.3,694
s2531,A Dark Mirror,Movie,Netflix,Crime,5.1,44,98.0,2021,105,105,4.82,Recent,1002,6.83,68.01,65679,20.92,261
s2532,Between Lives,Movie,Netflix,Animation,8.5,82,98.0,2024,5,5,8.38,Recent,876,6.8,67.75,72738,52.61,267
s2533,The Sandman,TV Show,Hulu,Drama,3.6,44,,2024,64,64,3.92,Recent,2832,6.82,67.28,188250,20.92,853
s2534,When You Return,Movie,HBO Max,Drama,8.6,73,100.0,2026,5,5,8.08,Recent,2832,6.82,67.28,188250,20.92,853
s2535,Between Us,Movie,Amazon Prime Video,Animation,6.9,69,71.0,2020,0,0,6.9,Recent,876,6.8,67.75,72738,52.61,267
s2536,Beyond the Silence,Movie,HBO Max,Musical,7.7,68,100.0,1990,113,113,7.34,Older,96,6.72,65.12,4813,21.48,34
s2537,Beyond Redemption,Movie,Netflix,Crime,8.5,87,121.0,2022,179,179,8.58,Recent,1002,6.83,68.01,65679,20.92,261
s2538,Between Tomorrow and Never,Movie,Netflix,Drama,8.1,74,103.0,2011,55,55,7.82,Mid,2832,6.82,67.28,188250,20.92,853
s2539,Narcos: Revenge,TV Show,Netflix,Reality TV,6.2,53,,1986,1,1,5.84,Older,618,6.56,65.36,37974,,146
s2540,The White Lotus,TV Show,Hulu,Comedy,2.6,30,,2000,7,7,2.76,Older,2180,6.86,68.5,152111,20.3,694
s2541,The Sandman,TV Show,Netflix,Crime,6.3,58,,2022,0,0,6.1,Recent,1002,6.83,68.01,65679,20.92,261
s2542,The White Lotus: Return,TV Show,Netflix,Reality TV,8.2,70,,2020,40,40,7.72,Recent,618,6.56,65.36,37974,,146
s2543,Between Tomorrow and Never,Movie,Netflix,Action,8.4,75,82.0,2016,90,90,8.04,Recent,1078,6.78,67.18,72029,49.17,321
s2544,Squid Game,TV Show,Amazon Prime Video,Kids,6.7,72,,2024,41,41,6.9,Recent,388,6.81,67.13,28861,,114
s2545,Only Murders,TV Show,Disney+,Sci-Fi,5.2,58,,2011,632,632,5.44,Mid,873,6.85,68.19,83711,48.59,303
s2546,Between Two Worlds,Movie,Paramount+,Drama,5.3,52,118.0,2026,5,5,5.26,Recent,2832,6.82,67.28,188250,20.92,853
s2547,In the Shadow of Giants,Movie,JioCinema,Thriller,6.2,67,110.0,2020,2,2,6.4,Recent,1155,6.79,67.52,83691,20.39,367
s2548,The Gentlemen,TV Show,Netflix,Kids,6.3,60,,2017,61,61,6.18,Recent,388,6.81,67.13,28861,,114
s2549,Eclipse,Movie,Amazon Prime Video,Thriller,7.2,65,156.0,2021,460,460,6.92,Recent,1155,6.79,67.52,83691,20.39,367
s2550,The Last Whisper,Movie,Amazon Prime Video,Horror,5.9,47,99.0,2004,4,4,5.42,Older,519,6.55,64.52,39706,21.33,128
s2551,Beyond Redemption,Movie,Hulu,Romance,8.9,90,115.0,2016,22,22,8.94,Recent,590,6.8,67.26,45855,19.1,187
s2552,A Broken Promise,Movie,Peacock,Adventure,7.7,81,95.0,2011,82,82,7.86,Mid,332,6.86,67.9,29049,19.63,104
s2553,Black Mirror,TV Show,Netflix,Comedy,5.5,46,,2018,11,11,5.14,Recent,2180,6.86,68.5,152111,20.3,694
s2554,When the Stars Fall,Movie,Netflix,Comedy,8.1,87,109.0,1994,13,13,8.34,Older,2180,6.86,68.5,152111,20.3,694
s2555,The Marvelous Mrs,TV Show,Disney+,Crime,6.4,50,,2022,11,11,5.84,Recent,1002,6.83,68.01,65679,20.92,261
s2556,A Broken Promise,Movie,Disney+,Drama,7.2,68,109.0,2001,105,105,7.04,Older,2832,6.82,67.28,188250,20.92,853
s2557,A Dark Mirror,Movie,Disney+,Thriller,8.8,99,104.0,2023,3,3,9.24,Recent,1155,6.79,67.52,83691,20.39,367
s2558,The Marvelous Mrs,TV Show,Netflix,Sci-Fi,6.2,77,,2006,41,41,6.8,Mid,873,6.85,68.19,83711,48.59,303
s2559,Kingdom,TV Show,Apple TV+,Drama,7.9,84,,2023,13,13,8.1,Recent,2832,6.82,67.28,188250,20.92,853
s2560,Wednesday,TV Show,Hulu,Drama,7.0,65,,2021,4,4,6.8,Recent,2832,6.82,67.28,188250,20.92,853
s2561,Between Tomorrow and Never,Movie,Amazon Prime Video,Drama,6.1,49,70.0,2023,5,5,5.62,Recent,2832,6.82,67.28,188250,20.92,853
s2562,Bridgerton,TV Show,Paramount+,Documentary,6.1,60,,1997,1,1,6.06,Older,1065,6.91,68.65,61809,3.64,360
s2563,The Last of Us,TV Show,Amazon Prime Video,Kids,7.7,81,,2026,155,155,7.86,Recent,388,6.81,67.13,28861,,114
s2564,The Recruit: Revenge,TV Show,Netflix,Comedy,6.8,75,,2012,0,0,7.08,Mid,2180,6.86,68.5,152111,20.3,694
s2565,In the Shadow of Giants,Movie,Amazon Prime Video,Sci-Fi,8.4,74,80.0,1995,5,5,8.0,Older,873,6.85,68.19,83711,48.59,303
s2566,The Gentlemen: Uprising,TV Show,Netflix,Comedy,7.1,65,,2024,51,51,6.86,Recent,2180,6.86,68.5,152111,20.3,694
s2567,Beyond Reality,Movie,Amazon Prime Video,Fantasy,6.3,60,115.0,2022,48,48,6.18,Recent,286,6.76,67.0,13827,49.88,83
s2568,The Last Whisper,Movie,Amazon Prime Video,Animation,5.8,60,108.0,2015,9,9,5.88,Mid,876,6.8,67.75,72738,52.61,267
s2569,Kingdom: Uprising,TV Show,Crunchyroll,Comedy,7.2,70,,1997,8,8,7.12,Older,2180,6.86,68.5,152111,20.3,694
s2570,A Distant Memory,Movie,Netflix,Animation,6.4,74,83.0,2007,29,29,6.8,Mid,876,6.8,67.75,72738,52.61,267
s2571,Beyond the Horizon,Movie,Netflix,Crime,6.1,70,134.0,2013,367,367,6.46,Mid,1002,6.83,68.01,65679,20.92,261
s2572,In the Name of Love,Movie,Paramount+,Documentary,7.6,78,104.0,2020,7,7,7.68,Recent,1065,6.91,68.65,61809,3.64,360
s2573,Kingdom,TV Show,HBO Max,Comedy,8.5,75,,1986,2,2,8.1,Older,2180,6.86,68.5,152111,20.3,694
s2574,Beyond Shadows,Movie,Disney+,Comedy,5.6,52,99.0,2017,0,0,5.44,Recent,2180,6.86,68.5,152111,20.3,694
s2575,Succession,TV Show,Hulu,Talk Show,7.9,89,,2015,558,558,8.3,Mid,138,6.73,66.49,11180,,49
s2576,The Marvelous Mrs,TV Show,Netflix,Kids,8.1,75,,2018,158,158,7.86,Recent,388,6.81,67.13,28861,,114
s2577,The Last Summer,Movie,Netflix,Animation,8.0,76,110.0,2019,1,1,7.84,Recent,876,6.8,67.75,72738,52.61,267
s2578,The Last Whisper,Movie,Hulu,Fantasy,8.3,83,123.0,2016,2,2,8.3,Recent,286,6.76,67.0,13827,49.88,83
s2579,Squid Game,TV Show,Paramount+,Comedy,8.5,92,,2022,1,1,8.78,Recent,2180,6.86,68.5,152111,20.3,694
s2580,The Astronaut,Movie,Disney+,Sci-Fi,6.3,56,132.0,2026,126,126,6.02,Recent,873,6.85,68.19,83711,48.59,303
s2581,Peaky Blinders,TV Show,Amazon Prime Video,Sci-Fi,7.3,83,,2022,37,37,7.7,Recent,873,6.85,68.19,83711,48.59,303
s2582,Narcos,TV Show,Disney+,Drama,8.1,70,,2012,3,3,7.66,Mid,2832,6.82,67.28,188250,20.92,853
s2583,The Pilgrim,Movie,HBO Max,Sci-Fi,6.2,59,49.0,2020,26,26,6.08,Recent,873,6.85,68.19,83711,48.59,303
s2584,When Night Comes,Movie,Netflix,Romance,5.3,69,143.0,2026,658,658,5.94,Recent,590,6.8,67.26,45855,19.1,187
s2585,Between Lines,Movie,Amazon Prime Video,Thriller,7.9,86,108.0,1999,27,27,8.18,Older,1155,6.79,67.52,83691,20.39,367
s2586,The Recruit,TV Show,HBO Max,Documentary,8.8,83,,1991,9,9,8.6,Older,1065,6.91,68.65,61809,3.64,360
s2587,Money Heist: Return,TV Show,Amazon Prime Video,Anime,5.5,49,,2026,73,73,5.26,Recent,287,6.84,67.46,28260,,88
s2588,Beyond the Silence,Movie,HBO Max,Animation,8.2,78,105.0,2026,1,1,8.04,Recent,876,6.8,67.75,72738,52.61,267
s2589,The Oracle,Movie,Hulu,Action,8.8,95,114.0,2016,8,8,9.08,Recent,1078,6.78,67.18,72029,49.17,321
s2590,Succession,TV Show,Netflix,Animation,7.0,71,,2020,4,4,7.04,Recent,876,6.8,67.75,72738,52.61,267
s2591,In the Depths of Night,Movie,Netflix,Animation,6.0,63,94.0,2026,5,5,6.12,Recent,876,6.8,67.75,72738,52.61,267
s2592,In the Depths of Night,Movie,Amazon Prime Video,Animation,6.6,53,98.0,2022,61,61,6.08,Recent,876,6.8,67.75,72738,52.61,267
s2593,Fallout,TV Show,Peacock,Reality TV,7.2,78,,2026,6,6,7.44,Recent,618,6.56,65.36,37974,,146
s2594,The Last Light,Movie,Hulu,Drama,6.9,80,121.0,2020,22,22,7.34,Recent,2832,6.82,67.28,188250,20.92,853
s2595,The Hunter,Movie,Hulu,Action,7.8,85,126.0,2025,0,0,8.08,Recent,1078,6.78,67.18,72029,49.17,321
s2596,A Dark Mirror,Movie,Netflix,Drama,8.7,92,108.0,2015,4,4,8.9,Mid,2832,6.82,67.28,188250,20.92,853
s2597,Resurrection,Movie,Disney+,Crime,6.8,67,84.0,2025,26,26,6.76,Recent,1002,6.83,68.01,65679,20.92,261
s2598,Midnight,Movie,Disney+,Sci-Fi,8.1,77,83.0,2021,0,0,7.94,Recent,873,6.85,68.19,83711,48.59,303
s2599,Vertigo,Movie,Netflix,Drama,6.7,58,101.0,2015,4,4,6.34,Mid,2832,6.82,67.28,188250,20.92,853
s2600,Ted Lasso,TV Show,Disney+,Drama,7.6,82,,2017,2,2,7.84,Recent,2832,6.82,67.28,188250,20.92,853
s2601,Resurrection,Movie,Disney+,Drama,6.4,61,63.0,2024,10,10,6.28,Recent,2832,6.82,67.28,188250,20.92,853
s2602,When the Stars Fall,Movie,Amazon Prime Video,Action,5.7,60,82.0,1994,5,5,5.82,Older,1078,6.78,67.18,72029,49.17,321
s2603,A Distant Memory,Movie,Amazon Prime Video,Romance,7.2,72,137.0,2024,73,73,7.2,Recent,590,6.8,67.26,45855,19.1,187
s2604,A Silent Echo,Movie,Disney+,Musical,6.1,59,104.0,2000,0,0,6.02,Older,96,6.72,65.12,4813,21.48,34
s2605,When the Stars Fall,Movie,Disney+,Documentary,6.8,46,101.0,2022,53,53,5.92,Recent,1065,6.91,68.65,61809,3.64,360
s2606,Echoes,Movie,Disney+,Action,7.0,74,104.0,2022,68,68,7.16,Recent,1078,6.78,67.18,72029,49.17,321
s2607,In the Shadow of Giants,Movie,Apple TV+,Thriller,7.4,66,74.0,2022,183,183,7.08,Recent,1155,6.79,67.52,83691,20.39,367
s2608,The Last Dance,Movie,Netflix,Action,7.9,75,117.0,2010,652,652,7.74,Mid,1078,6.78,67.18,72029,49.17,321
s2609,The Morning Show,TV Show,Amazon Prime Video,Drama,6.2,64,,2018,0,0,6.28,Recent,2832,6.82,67.28,188250,20.92,853
s2610,Beyond the Silence,Movie,Netflix,Drama,6.7,68,90.0,2022,45,45,6.74,Recent,2832,6.82,67.28,188250,20.92,853
s2611,The Sandman,TV Show,Amazon Prime Video,Comedy,6.2,63,,2021,6,6,6.24,Recent,2180,6.86,68.5,152111,20.3,694
s2612,Money Heist,TV Show,Netflix,Documentary,7.2,77,,2017,22,22,7.4,Recent,1065,6.91,68.65,61809,3.64,360
s2613,Kingdom,TV Show,Netflix,Reality TV,6.3,58,,2015,0,0,6.1,Mid,618,6.56,65.36,37974,,146
s2614,In the Shadow of Giants,Movie,JioCinema,Comedy,7.1,62,129.0,2019,4,4,6.74,Recent,2180,6.86,68.5,152111,20.3,694
s2615,The Gentlemen: Uprising,TV Show,Amazon Prime Video,Sci-Fi,6.2,58,,2022,241,241,6.04,Recent,873,6.85,68.19,83711,48.59,303
s2616,Between Us,Movie,Netflix,Drama,4.4,47,116.0,2011,15,15,4.52,Mid,2832,6.82,67.28,188250,20.92,853
s2617,Severance,TV Show,Disney+,Drama,6.4,57,,2015,1,1,6.12,Mid,2832,6.82,67.28,188250,20.92,853
s2618,Paradox,Movie,Disney+,Drama,4.9,48,141.0,2014,13,13,4.86,Mid,2832,6.82,67.28,188250,20.92,853
s2619,Dark,TV Show,Netflix,Documentary,8.0,74,,2019,8,8,7.76,Recent,1065,6.91,68.65,61809,3.64,360
s2620,The Last Dance,Movie,HBO Max,Romance,6.7,67,116.0,2022,1,1,6.7,Recent,590,6.8,67.26,45855,19.1,187
s2621,In the Depths of Night,Movie,Netflix,Comedy,7.4,78,91.0,2024,21,21,7.56,Recent,2180,6.86,68.5,152111,20.3,694
s2622,The Diplomat,TV Show,Crunchyroll,Kids,7.3,79,,2023,5,5,7.54,Recent,388,6.81,67.13,28861,,114
s2623,House of Cards,TV Show,Paramount+,Kids,7.2,73,,1993,9,9,7.24,Older,388,6.81,67.13,28861,,114
s2624,The Night Agent,TV Show,Apple TV+,Crime,7.3,72,,1994,143,143,7.26,Older,1002,6.83,68.01,65679,20.92,261
s2625,The Sandman,TV Show,Netflix,Documentary,7.4,69,,1986,54,54,7.2,Older,1065,6.91,68.65,61809,3.64,360
s2626,A Fragile Heart,Movie,Amazon Prime Video,Fantasy,6.7,80,135.0,2025,10,10,7.22,Recent,286,6.76,67.0,13827,49.88,83
s2627,Paradox,Movie,Netflix,Drama,6.6,70,120.0,2004,3,3,6.76,Older,2832,6.82,67.28,188250,20.92,853
s2628,The Queen's Gambit,Movie,Amazon Prime Video,Romance,7.6,74,162.0,2019,13,13,7.52,Recent,590,6.8,67.26,45855,19.1,187
s2629,Stranger Things,TV Show,HBO Max,Sci-Fi,8.4,86,,2021,3,3,8.48,Recent,873,6.85,68.19,83711,48.59,303
s2630,The Diplomat,TV Show,Hulu,Mystery,9.2,91,,2023,1,1,9.16,Recent,368,6.97,69.91,26928,18.61,156
s2631,A Quiet Place,Movie,Peacock,Animation,5.8,54,104.0,2008,1,1,5.64,Mid,876,6.8,67.75,72738,52.61,267
s2632,Beyond Redemption,Movie,Netflix,Comedy,6.6,75,101.0,2019,1,1,6.96,Recent,2180,6.86,68.5,152111,20.3,694
s2633,Between Tomorrow and Never,Movie,Peacock,Comedy,5.8,55,108.0,2014,114,114,5.68,Mid,2180,6.86,68.5,152111,20.3,694
s2634,Beyond Shadows,Movie,Netflix,Drama,6.5,47,123.0,2021,95,95,5.78,Recent,2832,6.82,67.28,188250,20.92,853
s2635,Fallout: Return,TV Show,Amazon Prime Video,Mystery,7.3,75,,2007,4,4,7.38,Mid,368,6.97,69.91,26928,18.61,156
s2636,The Bear: Origins,TV Show,Apple TV+,Reality TV,7.0,67,,2018,39,39,6.88,Recent,618,6.56,65.36,37974,,146
s2637,When the Stars Fall,Movie,Disney+,Drama,6.7,71,90.0,2026,165,165,6.86,Recent,2832,6.82,67.28,188250,20.92,853
s2638,Shogun,TV Show,Netflix,Reality TV,7.8,82,,2018,5,5,7.96,Recent,618,6.56,65.36,37974,,146
s2639,The Last Dance,Movie,Netflix,Animation,7.4,59,72.0,2009,0,0,6.8,Mid,876,6.8,67.75,72738,52.61,267
s2640,The Last Whisper,Movie,Netflix,Documentary,5.4,51,116.0,2011,1325,1325,5.28,Mid,1065,6.91,68.65,61809,3.64,360
s2641,Beyond Redemption,Movie,Netflix,Drama,6.1,64,128.0,2023,0,0,6.22,Recent,2832,6.82,67.28,188250,20.92,853
s2642,A Silent Echo,Movie,Netflix,Drama,7.3,79,109.0,2018,0,0,7.54,Recent,2832,6.82,67.28,188250,20.92,853
s2643,When the Stars Fall,Movie,Paramount+,Crime,6.4,63,99.0,2017,0,0,6.36,Recent,1002,6.83,68.01,65679,20.92,261
s2644,Revelation,Movie,Disney+,Comedy,6.6,61,164.0,1995,18,18,6.4,Older,2180,6.86,68.5,152111,20.3,694
s2645,Between Us,Movie,Apple TV+,Horror,6.9,70,128.0,2014,28,28,6.94,Mid,519,6.55,64.52,39706,21.33,128
s2646,Revelation,Movie,Amazon Prime Video,Drama,6.6,58,130.0,2014,58,58,6.28,Mid,2832,6.82,67.28,188250,20.92,853
s2647,Beyond the Horizon,Movie,Peacock,Drama,6.8,72,102.0,2010,3,3,6.96,Mid,2832,6.82,67.28,188250,20.92,853
s2648,The Recruit,TV Show,Disney+,Comedy,6.9,74,,2010,2,2,7.1,Mid,2180,6.86,68.5,152111,20.3,694
s2649,Beyond the Horizon,Movie,Netflix,Horror,8.7,81,98.0,2023,14,14,8.46,Recent,519,6.55,64.52,39706,21.33,128
s2650,In the Heart of Winter,Movie,Netflix,Thriller,6.3,58,53.0,2004,0,0,6.1,Older,1155,6.79,67.52,83691,20.39,367
s2651,Squid Game: Revenge,TV Show,Crunchyroll,Thriller,7.1,73,,2009,0,0,7.18,Mid,1155,6.79,67.52,83691,20.39,367
s2652,The Last Dance,Movie,Netflix,Comedy,6.8,77,102.0,2021,5,5,7.16,Recent,2180,6.86,68.5,152111,20.3,694
s2653,Echoes,Movie,Netflix,Drama,7.4,71,132.0,2025,847,847,7.28,Recent,2832,6.82,67.28,188250,20.92,853
s2654,The Sandman,TV Show,Disney+,Comedy,6.5,51,,1997,14,14,5.94,Older,2180,6.86,68.5,152111,20.3,694
s2655,Labyrinth,Movie,HBO Max,Romance,5.6,54,125.0,2016,83,83,5.52,Recent,590,6.8,67.26,45855,19.1,187
s2656,The Last Summer,Movie,HBO Max,Fantasy,6.2,55,80.0,2016,0,0,5.92,Recent,286,6.76,67.0,13827,49.88,83
s2657,Ted Lasso,TV Show,Netflix,Sci-Fi,5.9,48,,2024,1,1,5.46,Recent,873,6.85,68.19,83711,48.59,303
s2658,Resurrection,Movie,Netflix,Thriller,5.0,53,108.0,2012,11,11,5.12,Mid,1155,6.79,67.52,83691,20.39,367
s2659,When You Return,Movie,Disney+,Drama,7.4,61,123.0,2018,3,3,6.88,Recent,2832,6.82,67.28,188250,20.92,853
s2660,The Last Summer,Movie,HBO Max,Crime,7.1,83,141.0,2014,6,6,7.58,Mid,1002,6.83,68.01,65679,20.92,261
s2661,The Boys,TV Show,Hulu,Crime,6.2,56,,2023,1,1,5.96,Recent,1002,6.83,68.01,65679,20.92,261
s2662,Midnight,Movie,Peacock,Fantasy,7.2,80,130.0,2005,0,0,7.52,Older,286,6.76,67.0,13827,49.88,83
s2663,Dark,TV Show,Amazon Prime Video,Drama,4.6,41,,2021,0,0,4.4,Recent,2832,6.82,67.28,188250,20.92,853
s2664,The Last of Us,TV Show,Amazon Prime Video,Documentary,6.0,54,,2016,27,27,5.76,Recent,1065,6.91,68.65,61809,3.64,360
s2665,Between Lines,Movie,Netflix,Animation,5.5,59,72.0,2024,19,19,5.66,Recent,876,6.8,67.75,72738,52.61,267
s2666,The Crown,TV Show,Amazon Prime Video,Animation,7.0,72,,2024,40,40,7.08,Recent,876,6.8,67.75,72738,52.61,267
s2667,The White Lotus,TV Show,Paramount+,Mystery,6.5,77,,2014,67,67,6.98,Mid,368,6.97,69.91,26928,18.61,156
s2668,Narcos,TV Show,Hulu,Sci-Fi,5.6,53,,2018,1,1,5.48,Recent,873,6.85,68.19,83711,48.59,303
s2669,Only Murders: Revenge,TV Show,Netflix,Comedy,6.7,63,,2016,0,0,6.54,Recent,2180,6.86,68.5,152111,20.3,694
s2670,The Last Summer,Movie,Amazon Prime Video,Thriller,6.0,56,99.0,2025,5,5,5.84,Recent,1155,6.79,67.52,83691,20.39,367
s2671,The Morning Show,TV Show,Crunchyroll,Drama,8.7,94,,2019,36,36,8.98,Recent,2832,6.82,67.28,188250,20.92,853
s2672,Between Lines,Movie,HBO Max,Drama,8.5,78,89.0,2000,11,11,8.22,Older,2832,6.82,67.28,188250,20.92,853
s2673,The Last Whisper,Movie,Amazon Prime Video,Romance,7.9,79,132.0,2025,28,28,7.9,Recent,590,6.8,67.26,45855,19.1,187
s2674,The Watchmaker,Movie,Peacock,Crime,7.6,80,126.0,2021,11,11,7.76,Recent,1002,6.83,68.01,65679,20.92,261
s2675,In the Depths of Night,Movie,Disney+,Comedy,5.6,54,93.0,2026,14,14,5.52,Recent,2180,6.86,68.5,152111,20.3,694
s2676,Stranger Things,TV Show,Amazon Prime Video,Comedy,7.4,75,,1994,0,0,7.44,Older,2180,6.86,68.5,152111,20.3,694
s2677,A Distant Memory,Movie,Netflix,Drama,5.7,67,87.0,2015,8,8,6.1,Mid,2832,6.82,67.28,188250,20.92,853
s2678,Stranger Things,TV Show,Netflix,Reality TV,5.9,72,,2024,1,1,6.42,Recent,618,6.56,65.36,37974,,146
s2679,The Diplomat,TV Show,Paramount+,Anime,7.1,73,,1982,2095,2095,7.18,Older,287,6.84,67.46,28260,,88
s2680,Beyond the Horizon,Movie,Apple TV+,Animation,9.2,90,110.0,2021,4,4,9.12,Recent,876,6.8,67.75,72738,52.61,267
s2681,The Diplomat,TV Show,Disney+,Thriller,7.0,65,,2021,6,6,6.8,Recent,1155,6.79,67.52,83691,20.39,367
s2682,A Fragile Heart,Movie,Netflix,Comedy,5.2,42,79.0,1991,0,0,4.8,Older,2180,6.86,68.5,152111,20.3,694
s2683,The Lincoln Lawyer,TV Show,Netflix,Game Show,5.2,55,,2019,210,210,5.32,Recent,139,6.78,66.91,8621,,32
s2684,Echoes,Movie,Amazon Prime Video,Crime,7.2,59,94.0,2025,11,11,6.68,Recent,1002,6.83,68.01,65679,20.92,261
s2685,The Last Dance,Movie,HBO Max,Thriller,6.6,65,128.0,2025,65,65,6.56,Recent,1155,6.79,67.52,83691,20.39,367
s2686,Severance,TV Show,HBO Max,Thriller,6.8,76,,2016,23,23,7.12,Recent,1155,6.79,67.52,83691,20.39,367
s2687,The Marvelous Mrs,TV Show,Hulu,Documentary,7.7,77,,2025,1,1,7.7,Recent,1065,6.91,68.65,61809,3.64,360
s2688,Between Lives,Movie,Disney+,Animation,8.0,72,104.0,2021,4,4,7.68,Recent,876,6.8,67.75,72738,52.61,267
s2689,In the Depths of Night,Movie,HBO Max,Romance,5.4,49,102.0,2022,0,0,5.2,Recent,590,6.8,67.26,45855,19.1,187
s2690,The Sandman,TV Show,Disney+,Anime,7.8,79,,2015,0,0,7.84,Mid,287,6.84,67.46,28260,,88
s2691,Squid Game: Origins,TV Show,Amazon Prime Video,Sci-Fi,8.5,88,,2025,114,114,8.62,Recent,873,6.85,68.19,83711,48.59,303
s2692,Between Lines,Movie,Amazon Prime Video,Animation,7.1,68,87.0,2002,32,32,6.98,Older,876,6.8,67.75,72738,52.61,267
s2693,The Night Agent,TV Show,HBO Max,Drama,6.8,74,,2016,1257,1257,7.04,Recent,2832,6.82,67.28,188250,20.92,853
s2694,In the Depths of Night,Movie,Netflix,Drama,5.0,56,182.0,2025,126,126,5.24,Recent,2832,6.82,67.28,188250,20.92,853
s2695,The Last Dance,Movie,Hulu,Comedy,5.5,49,116.0,2021,247,247,5.26,Recent,2180,6.86,68.5,152111,20.3,694
s2696,Between Lines,Movie,Apple TV+,Drama,6.6,72,131.0,2005,40,40,6.84,Older,2832,6.82,67.28,188250,20.92,853
s2697,The Night Agent,TV Show,Amazon Prime Video,Comedy,9.3,92,,2000,21,21,9.26,Older,2180,6.86,68.5,152111,20.3,694
s2698,The Boys,TV Show,Hulu,Sci-Fi,5.4,65,,2023,123,123,5.84,Recent,873,6.85,68.19,83711,48.59,303
s2699,Between Two Worlds,Movie,Amazon Prime Video,Drama,6.1,62,117.0,2015,650,650,6.14,Mid,2832,6.82,67.28,188250,20.92,853
s2700,Between Two Worlds,Movie,Disney+,Fantasy,6.3,73,100.0,2018,6,6,6.7,Recent,286,6.76,67.0,13827,49.88,83
s2701,The Diplomat,TV Show,Netflix,Crime,8.0,80,,2017,1,1,8.0,Recent,1002,6.83,68.01,65679,20.92,261
s2702,In the Heart of Winter,Movie,Disney+,Action,5.9,66,118.0,2016,2,2,6.18,Recent,1078,6.78,67.18,72029,49.17,321
s2703,The Morning Show,TV Show,Netflix,Drama,7.3,80,,2019,15,15,7.58,Recent,2832,6.82,67.28,188250,20.92,853
s2704,Eclipse,Movie,Disney+,Action,9.6,99,81.0,2023,6,6,9.72,Recent,1078,6.78,67.18,72029,49.17,321
s2705,In the Depths of Night,Movie,Netflix,Comedy,5.2,46,73.0,2026,0,0,4.96,Recent,2180,6.86,68.5,152111,20.3,694
s2706,The Night Agent: Uprising,TV Show,Amazon Prime Video,Drama,5.7,53,,2010,14,14,5.54,Mid,2832,6.82,67.28,188250,20.92,853
s2707,The Last Kingdom,Movie,Netflix,Drama,5.3,56,150.0,2010,46,46,5.42,Mid,2832,6.82,67.28,188250,20.92,853
s2708,In the Shadow of Giants,Movie,Disney+,Action,6.4,58,119.0,1996,6,6,6.16,Older,1078,6.78,67.18,72029,49.17,321
s2709,Only Murders,TV Show,Disney+,Sci-Fi,7.0,58,,2023,37,37,6.52,Recent,873,6.85,68.19,83711,48.59,303
s2710,Mr. Robot,TV Show,Peacock,Crime,6.4,79,,2020,78,78,7.0,Recent,1002,6.83,68.01,65679,20.92,261
s2711,The Recruit,TV Show,Amazon Prime Video,Kids,6.5,61,,2021,11,11,6.34,Recent,388,6.81,67.13,28861,,114
s2712,The Recruit: Revenge,TV Show,Netflix,Comedy,6.1,61,,2021,1,1,6.1,Recent,2180,6.86,68.5,152111,20.3,694
s2713,The Conductor,Movie,Peacock,Romance,8.2,88,112.0,2018,1,1,8.44,Recent,590,6.8,67.26,45855,19.1,187
s2714,Revelation,Movie,Amazon Prime Video,Drama,5.1,55,124.0,1987,3427,3427,5.26,Older,2832,6.82,67.28,188250,20.92,853
